feature,label
Used YALE 1/4 Ton Chain Hoist                       Used YALE 1/4 Ton Chain Hoist.   Chain Container   Pull Rope Controls   Ph: 3   HP: 0.25   Volts: 460,tools/equipment ñ power tools/equipment ñ power power tools ñ lifting/handling equipment
"Himalaya Pain Massage Oil For Muscular Aches Action: Pain Massage Oil is a herbal oil which provides relief from neuromuscular pain and the pain associated with arthritis.  Indications: 1. Neuromuscular pain. 2. General body ache and pain.  Ingredients: * Sweetflag (Acorus calamus, Vacha) * Drumstick (Moringa pterygosperma, Shigru) * Cedarwood (Cedrus deodara, Devadaru) * Ginger (Zingiber officinale, Sunthi) * Country Mallow (Sida cordifolia, Bala)  Directions: Apply Pain Massage Oil all over the body and gently massage. Follow with a warm shower.",healthcare health treatments/aids pain relief products
Excelsior Designer Freestanding Bath - Primed with Polished Plinth      Designer Freestanding Bath Features:† † Cast in Solid Aluminium Coated with a Black Primer ready to paint to match your colour scheme† † Weight: 110kg † 12 months guarantee † Size: 1780mm x 760mm †,plumbing/heating/ventilation/air conditioning plumbing/heating/ventilation/air conditioning sanitary ware
"Seton Hall Pirates School Combo Pack This back-to-school combo pack is the complete ready-to-work set for students of all sizes! Each set includes three portfolio folders, two single-subject notebooks and three memo pad booklets. This year, hit the books in style!",stationery/office machinery/occasion supplies stationery/office machinery/occasion supplies variety packs stationery/office machinery/occasion supplies variety packs
"Diaper & Onesie Cupcake                                     BabyBinkz Diaper & Onesie Cupcake -†These adorable Diaper & Onesie Cupcakes make the perfect Baby Shower gift! †   Ingredients:  1 Pampers Swaddler 1 Infant Onesie (0-3 months) Cupcake Wrapper, Premium Ribbon & Cellophane Bag†   Each Diaper & Onesie Cupcake is handcrafted, and made with TLC in the BabyBinkz studio! Please let us know if you would like a cupcake for a girl, boy, or neutral in the notes during checkout!†   Please note: Depending upon inventory levels, ribbon and onesie colors / designs in the pictures may vary from our final products, but will always coordinate with the gender selected.",baby care baby feeding/hygiene baby hygiene/grooming
"lost socks rack \ raw finish   Now there's a chic system for reuniting lost socks! Next time you find a random sock in the dryer, clip it on this rustic metal hanger until you find its mate. 30"" x 10Ω""t",household/office furniture/furnishings household/office furniture display stands
"Good Dog Coffee Samples Gift Basket w. 4 - 1/2 Lb Bags  Shop unique gifts for moms, thoughtful gifts for Mother's Day at everyday low prices at Green N Brown. Free shipping on your entire order.",food/beverage/tobacco beverages coffee/tea/substitutes
"Notre Dame vs. Rice 08/30/14 Football Game Day Program Get ready for the 2014 Notre Dame football season with this Game Day Program! Each unique program is printed in color and contains information on Notre Dame, its opponent, and articles on the athletic program's past, present, and future.",textual/printed/reference materials textual/printed/reference materials textual/printed/reference materials variety packs
AGA 460-190-589 Counter Pressure Assembly with Positive Pressure Interspiro AGA 460-190-589 Counter Pressure Assembly with Positive Pressure,sports equipment sports equipment swimming/surfing/diving sports equipment
"GS7701ACLBS Kingston Brass Chrome Single Handle Kitchen Faucet with Brass Sprayer         $(document).ready(function(){ $('#faucetlistbulletpointList li:nth-child(odd)').addClass('alternate')	})	Single Handle Kitchen Faucet w Brass SprayerProduct Features:All items are 100% NEW, never before used, and sold in their original packaging.Premium Chrome finish resists tarnishing and corrosion.Kingston Brass Preciscion Designed Plumbing Fixture CollectionView other single handle Kitchen Faucets COMPLETE ITEM: Everything necessary for installation is included! Single Handle Kitchen Faucet w Brass Sprayer High Quality Brass Construction Matching Brass Side Spray IncludedStylish Single Lever Handle Optional Deck Plate Spout Height: 12.5"" Spout Reach: 9.5"" Solid Metal Lever HandleDifferent finish options available! Easy to Install Matching Accessories AvailableOther Links: Spec SheetInstallation InstructionsParts BreakdownManufacturer & Warranty InformationFaucetlist.com is an authorized Kingston Brass dealer so this fixture includes the comprehensive 10 year manufacturer's warranty against all defects. This warranty gaurantees all faucets to be leak and drip free during normal installation and use. Basically if anything goes wrong anytime in the next 10 years you are covered - free of charge! Based on our experience, Warranty claims are few and far between - These products are built to last!One of the fastest growing brands in the industry today, Kingston Brass offers products that are affordable without compromising the quality of their design. Kingston Brass products include all the attractive aspects of a more expensive brand yet offer all this at a significantly lower price. Kingston Brass represents a great VALUE. If a solid, heavy, well-made product at a fair price is what you are after, you need look no further!Faucetlist.com has been a Kingston Brass authorized distributor for over 10 years. In that time we have sold thousands of Kingston Brass products. With this line of fixtures we have experienced a very high level of customer satisfaction and a very low return rate.Related Chrome Finish CategoriesClawfoot Tub FaucetsBathroom FaucetsKitchen FaucetsWall Mount FaucetsShowerheadsBathroom AccessoriesWhy Faucetlist.com? About us Easy Returns Shipping and Delivery Payments and Tax Contact Why buy this Kingston Brass Chrome Single Handle Kitchen Faucet w Brass Sprayer GS7701ACLBS at Faucetlist?Here at Faucetlist.com we are all about honest business, great products, and fair prices. We are regular folks working hard to get you the best deals on faucets and bathroom fixtures. We have over 30 years experience in the plumbing industry so we have picked up a bit of knowledge. We focus our attention on products that represent the best value. We carry only fairly priced faucets that meet our high-quality standards. Our sales staff is not here to upsell you. We are here to help you find the fixture(s) required for your particular project. Making sure you order the right fixture can save you time and money. We are not a huge big box company. Our customers are our most valued assets and we always give it our all to make you happy!Give us a try and get your new faucet fast! 100% Satisfaction Guaranteed, Free Shipping on orders over $139.00, Legendary Return Policy, 100% Secure payment, Fast Shipping, Great products...we could go on, but why not read what some of our other happy customers already said 100% positive feedbackA Little About Us!Hi friendly internet visitor :) Glad you're here! Welcome to Faucetlist.com! So as you may have guessed, there are some real people behind this site. We are not a big giant corporation with a board of directors and private jets. Nope. We are real people! Faucetlist.com was started by us, Jim and Nick Kuzmin, a father and son team from the Los Angeles area. So yeah, we are a family business and we like it that way.Most of the time if you call or email you will actually get to talk to one of us. We handle most of the front end communication to make sure you get the super service we have built our reputation on. Jim (the Dad!) has been in the plumbing industry since the 80s and has loads of experience handling renovation jobs for hotels and apartment complexes. In the early 2000s after Nick (me! the son) graduated from UC Santa Barbara, he started up the internet division. We've been selling on eBay for a long time and have also had a few other sites over the years. We are real people who like running a small business. Getting to work with family is great and being your own boss isn't too bad either. Faucetlist.com is not the biggest or the fanciest site out there, but we try to make up for that with excellent, knowledgeable customer service. We are here to help you find what you need at a reasonable price.We have personally worked with hundreds of different brands in the plumbing industry. From the cheapest knock off products to the most high-end brands we have seen it all. We have hand selected the products on our site to meet our high standards, yet not break the bank. We find brands where the quality is very high but the price is very reasonable. We know you are buying online based off a picture. We don't want to send you anything you are not going to love.In this tough economy, it's more important to make smart decisions with your hard earned cash. Sacrificing quality on a faucet is not such a good idea since you need to use it virtually every day. So we find products where the quality is amazing but where the price is reasonable too. Our 90 day easy return policy should give you an idea about how confident we are in our products.Now a little more fun about the founders as individuals! Jim loves golfing and going on walks with his dog. He's been happily married for 35 years. He also likes reading mystery/thriller novels and watching movies. A long time ago Nick was bitten by the travel bug. He has traveled through Europe, Asia, India, South America and is passionate about seeing new places and learning new languages. He lived a year in Beijing studying Mandarin Chinese and another year in Finland learning to program. He also enjoys running and going to the gym.While shopping our site, feel free to contact us any time with questions. We want to help make your experience here as easy as possible so if something doesn't work right or you can't find what you want, shoot us an email. We are constantly trying to improve. Thanks for reading! Hope you are having a nice day :)Faucetlist Easy ReturnsSo you're thinking about buying a Kingston Brass Chrome Single Handle Kitchen Faucet w Brass Sprayer GS7701ACLBS huh? Nice choice. We fully support your decision to buy, buy, buy! But WAIT! What about if something doesn't fit? What about if plans change? What about if your contractor runs out and buys a different Chrome Single Handle Kitchen Faucet without asking you and now you are stuck with two of the same item. We know you can't expect you contractor to be reasonable (unless you are a contractor of course in which case just kidding, we love you). So what now?Luckily your purchased your fixture from Faucetlist! We make returns as easy as possible. We have a flexible return policy, recently extended to cover you for 90 days from your date of purchase. If your item is unused just send it back, no explanation required. We have NO restocking fees and a completely NO Hassle return policy. We don't want to give you the run-around. Contact us any time and talk to a real person who has real power to help fix whatever issues you may have.Our easy return policy is one of many reasons to go ahead and buy that fixture you have been eyeing today! Shop Risk free now with Faucetlist's 90 day easy returns.Shipping and DeliveryWell, I know you just can't wait another second to get your hands on your new Kingston Brass Chrome Single Handle Kitchen Faucet w Brass Sprayer GS7701ACLBS. It's going to look so great once installed. But you need to schedule the plumber!? But what about the party you're having in two weeks!? What about when your in-laws are due in to town?! You're too busy to worry about when your order will arrive right? Let us help! From the minute you order your Chrome Single Handle Kitchen Faucet here's the process. We get the order into our system ASAP. It takes a maximum 3 business days to get your order shipped from our warehouse in the Los Angeles, California. From there we play the game, where are you located? The closer to us, the sooner you get your goods. Our items all have delivery estimates at the top. We have made sure to be pretty liberal with the estimates since we like to get things to you sooner if possible.That said, we really try to be as REALISTIC as possible with our scheduling. We want to give you an estimate you can truly be confident about, not just some promise we can only fulfill a small percentage of the time. For expedited shipping, contact us before placing your order and we'll try to help you out :)Bottom line, 3 business days processing plus time in transit, which adds another 1-5 business days. Consult the map below to see how long you need to wait. Buy now and get it Soon! Take advantage of our easy return policy and purchase today so you have your fixture well in advance from when you need it! Payments and Tax So when it comes to payment we try to make things as easy as possible by offering a simple payment procedure. You do not need to create an account or login in order to Checkout. Simply add your item to the cart, review your fixtures, then proceed to our secure one page checkout and submit your order.Payments are encrypted through a secure server and processed electronically so no one here ever even sees your credit card number. We accept all major credit cards and Paypal. If you prefer to call in your credit card number you can reach us toll free at 1-855-530-5222 Monday-Friday 9am-5pm Pacific.We are required by state law to charge sales tax of 8.75% within California. We wish we didn't have to but there's no way around this. Hope you will understand. Orders from all other states pay NO sales tax.Contact Us!Got a question? We are here to help so don't be shy! You can reach us by email [email†protected] /* <![CDATA[ */!function(){try{var t=""currentScript""in document?document.currentScript:function(){for(var t=document.getElementsByTagName(""script""),e=t.length	e--	)if(t[e].getAttribute(""cf-hash""))return t[e]}()	if(t&&t.previousSibling){var e,r,n,i,c=t.previousSibling,a=c.getAttribute(""data-cfemail"")	if(a){for(e="""",r=parseInt(a.substr(0,2),16),n=2	a.length-n	n+=2)i=parseInt(a.substr(n,2),16)^r,e+=String.fromCharCode(i)	e=document.createTextNode(e),c.parentNode.replaceChild(e,c)}}}catch(u){}}()	/* ]]> */ any time. We try to respond in less than one business day. If you have a large order to place send over a list and we'll try to work out a special deal for you.You can also call us Toll Free Monday-Friday 9am-5pm PST at 1-855-530-5222. We're happy to answer your questions and if you prefer, you can place your order by phone.Make sure to mention you are looking at the Kingston Brass Chrome Single Handle Kitchen Faucet w Brass Sprayer GS7701ACLBS and we will definitely know how to help.We are pretty new to social media but we are getting more and more active. We do run sales from time to time so link up with us on your favorite social network!Follow Us!Buy this Kingston Brass Chrome Single Handle Kitchen Faucet w Brass Sprayer GS7701ACLBS Now!       if(document.getElementsByClassName == undefined){document.getElementsByClassName = function(cl){ var retnode = []	 var myclass = new RegExp('\\b'+cl+'\\b')	 var elem = this.getElementsByTagName('*')	 for (var i = 0	 i < elem.length	i++){var classes = elem[i].className	if(myclass.test(classes)){retnode.push(elem[i])	}} return retnode	}}	 function str_place(search, place, subject) {   return subject.split(search).join(place)	 }   function ontabclick(){   for(var x=0	 x<tabs.length	 x++){     if(tabs[x].className.search('active')>=0){       tnum = this.className.match(/tab\d/)	     }	     tabs[x].className = str_place('active','',tabs[x].className)	     cont[x].className = str_place('visible','',cont[x].className)	   }	   this.className = this.className+' active'	   var tcont = document.getElementsByClassName(tnum + 'content')	   for(var x=0	 x<tcont.length	 x++){     tcont[x].className = tcont[x].className + ' visible'   }   return false	 }  var tabs = document.getElementsByClassName('tab')	 var cont = document.getElementsByClassName('tabcontent')	  for(var i=0	 i<tabs.length	 i++){   tabs[i].onclick = ontabclick	 }  for(var i=0	 i<cont.length	 i++){   if(cont[i].className.search('visible')<0)str_place('visible','',cont[i].className)	 }                                   List Price:               $299.95                         Price:                 $194.97                        You Save:               $104.98 (35%)                                         †                                     Related Products                          SD7601 Kingston Chrome Vintage Decorative deck mount Easy Fill Soap Dispenser                                                        $47.97                         Add to Cart                                   KBS1001 Kingston Chrome Made to Match Cast Brass Heavy Duty Basket Strainer                                                        $38.22                         Add to Cart                                   KS3101AL Kingston Brass Metal Lever Handle Chrome Kitchen Pot Filler Faucet                                                        $214.47                         Add to Cart                                   BS3001 Kitchen Sink Accessories Chrome Garbage Disposal Flange                                                        $31.72                         Add to Cart                                   SD2601 Kingston Chrome Milano Decorative deck mount Easy Fill Soap Dispenser                                                        $41.47                         Add to Cart                                             #footerbackgroundcolor { background-color: #d9d4d4	 height: 436px	 width: 1047px	 position: relative	 float: left	 left: -43px	 margin-top: 1%	 } #footerbackgroundcolor ul li{ list-style:none !important	 } #footerbackgroundcolor li {   margin:0 !important	   padding:0 !important	 } #footerbackgroundcolor a { text-decoration:none	 color: #d04e2e	 font-weight:bold	 } #footerbackgroundcolor a:hover { text-decoration:none	 color: #656565	 font-weight:bold	 } .footerbackgroundwhite { background-color: #FFFFFF	 display: inline	 float: left	 height: 400px	 left: 18px	 position: relative	 top: 18px	 width: 1011px	 } .faucetlistfooterlogo { display: inline	   float: left	   height: 60px	   position: relative	   top: 6px	   width: 235px	 } .faucetlistbadges { display: inline	   float: left	   height: 144px	   margin-left: 0px	   position: relative	   width: 731px	 } .faucetlistbadges img { margin-left:25px	 } .contactusinformation { display: inline	   float: left	   height: 100px	   left: 8px	   position: relative	   top: -45px	   width:220px	 } .whynotbrowsetext { display: inline	   float: left	   height: 0	   margin-left: 393px	   position: relative	   top: 35px	   width: 455px	 } .leftbytypefooter { font-size: 1.1em	 display: inline	   float: left	   height: 100px	   left: 43px	   line-height: 1.3	   position: relative	   top: 75px	   width: 176px	   left:-145px	 } .leftbytypefooter ul {   left: -40px	   line-height:1.4	   position: relative	   top: -12px	 } .leftbytypefooter li {   margin:0	   padding:0	 }  .rightbytypefooter { display: inline	   float: left	   font-size: 1.1em	   height: 100px	   left: -170px	   line-height: 1.4	   position: relative	   top: 79px	   width: 203px	 }   .browsebyfinishfooter { display: inline	   float: left	   font-size: 1.1em	   height: 100px	   left: -121px	   line-height: 1.3	   position: relative	   top: 75px	   width: 161px	 }   .browsebyfinishfooter ul {   left: -39px	   line-height:1.4	   position: relative	   top: -13px	 }",home appliances major domestic appliances major water dispensers
MINA ANTI - UOMO CLAYMORE Mina Anti-Uomo CLAYMORE con attivazione manuale o elettronica. Sistema di armamento e detonazione a molla. Portata 200 pallini inseriti dal foro esterno della Mina e sparati contemporaneamente in direzione del nemico. Possibilit‡ di detonazione tramite filo (manuale) oppure tramite il telecomando a distanza (elettronica). Raggio dÔøΩazione dei pallini sparati circa 20 mt. Peso: 500 gr Composta da ABS rinforzato† e sistemi di meccanismo in metallo. † IN DOTAZIONE: ∑†††††††† Batterie ∑†††††††† Telecomando a distanza ∑†††††††† Aste di fissaggio regolabili in metallo ∑†††††††† Libretto di istruzioni † † † NOVITAÔøΩ !!! †,sports equipment sports equipment sporting firearms equipment
"National Pool Tile Quartzite Pool Tile | Golden Harvest | Pinwheel Mosaic The†Quartzite†collection is a line of natural stone products with wide color variation and some thickness variation. †The†Quartzite†Tile, Coping and Decking series is a complete and coordinated pool and landscaping line. †Select from 4 natural stone mosaic tiles to make a captivating splash at your pool's waterline, surrounded by a stone coping border, and finished off with a matching, mosaic decking stone.",plumbing/heating/ventilation/air conditioning plumbing/heating/ventilation/air conditioning water storage/treatment
FRECCE PISTOLA A BALESTRA POLIMERO Confezione da 12 frecce in polimero con punta in acciaio.,sports equipment sports equipment sporting firearms equipment
Cyclomethicone ÔøΩ,healthcare health treatments/aids drug administration
"FTDI Cable 5V VCC-3.3V I/O   Description: The FTDI cable is a USB to Serial (TTL level) converter which allows for a simple way to connect TTL interface devices to USB. The VCC pins of this FTDI cable are configured to operate at 5V with 3.3V I/O.  The FTDI cable is designed around an FT232RQ, which is housed in a USB A connector. The other side of the cable is terminated with a 0.1"" pitch, 6-pin connector with the following pinout: RTS, RX, TX, 5V, CTS, GND (RTS is the green cable and GND is black).  This cable has almost the same pinout and functionality as our FTDI Basic Breakout board	 you can use it to program your Arduino Pro, Pro Mini and Lilypad, etc. For use with those boards, align the black and green wires of the FTDI cable with the 'BLK' and 'GRN' labels on the PCB. The difference between this cable and the FTDI Basic Breakout is the cable has a 5V Vcc where as the breakout has a 3.3V Vcc. You will still be able to program an Aruidno Pro, Pro Mini, Lilypad, etc. The 5V Vcc supply will not damage these Arduino circuit boards.  Originally, the cable was designed to have 3.3V VCC, however something was lost in translation between SparkFun and our supplier and we got stuck with a whole bunch of† FTDI cables that have a slight mix up in wiring. These have 5V VCC, and 3.3V I/O. The 5V Vcc output shouldn't be a problem unless this cable is being used to power a sensitive circuit such as a sensor.  There are pros and cons to the FTDI Cable vs the FTDI Basic. The FTDI Basic has great LED indicators, but requires a Mini-B cable. The FTDI Cable is well protected against the elements, but is large and cannot be embedded into a project as easily. The FTDI Basic uses DTR to cause a hardware reset where the FTDI cable uses the RTS signal.  Documents:†  FTDI Drivers  FTDI Cable Schematic",electrical supplies electrical cabling/wiring electrical cables
Superior Denver Wooden Playset The Superior Denver Wooden Playset features a large fort/playhouse and climbing rocks to help kids stay active.,toys/games toys/games outdoor games/play structures
